Time [s],T1,T2,T3,T4,T5
21.486874125,0,0,0,0,0
21.536921500,0,0,0,1,0
21.537357167,0,0,0,0,0
21.587404250,0,0,0,1,0
21.587846000,0,0,0,0,0
21.637887000,0,0,0,1,0
21.638328750,0,0,0,0,0
21.688364917,0,0,0,1,0
21.688800625,0,0,0,0,0
21.738836792,0,0,0,1,0
21.739278542,0,0,0,0,0
21.789319542,0,0,0,1,0
21.789761292,0,0,0,0,0
21.839802042,0,0,0,1,0
21.840237750,0,0,0,0,0
21.840248625,1,0,0,0,0
21.901138625,0,0,0,0,0
21.901149167,0,1,0,0,0
21.901259500,0,0,0,0,0
21.901273250,0,0,1,0,0
21.901388750,0,0,0,0,0
21.901406625,0,0,0,1,0
21.901842292,0,0,0,0,0
21.901859167,0,0,0,0,1
21.957383792,0,0,0,0,0
21.957401667,0,0,0,1,0
21.957837375,0,0,0,0,0
21.991246667,0,0,0,1,0
21.991682375,0,0,0,0,0
22.041718542,0,0,0,1,0
22.042154250,0,0,0,0,0
22.092201625,0,0,0,1,0
22.092643375,0,0,0,0,0
22.142684375,0,0,0,1,0
22.143126125,0,0,0,0,0
22.193162292,0,0,0,1,0
22.193598000,0,0,0,0,0
22.243645042,0,0,0,1,0
22.244080750,0,0,0,0,0
22.294116917,0,0,0,1,0
22.294558667,0,0,0,0,0
22.344598125,0,0,0,0,1
22.399475917,0,0,0,0,0
22.399486792,1,0,0,0,0
22.460369667,0,0,0,0,0
22.460380250,0,1,0,0,0
22.460491500,0,0,0,0,0
22.460505250,0,0,1,0,0
22.460620750,0,0,0,0,0
22.460638625,0,0,0,1,0
22.461074292,0,0,0,0,0
22.496040000,0,0,0,1,0
22.496475667,0,0,0,0,0
22.546522750,0,0,0,1,0
22.546958417,0,0,0,0,0
22.597005500,0,0,0,1,0
22.597447250,0,0,0,0,0
22.647477667,0,0,0,1,0
22.647919417,0,0,0,0,0
22.697966500,0,0,0,1,0
22.698402167,0,0,0,0,0
22.748438375,0,0,0,1,0
22.748874042,0,0,0,0,0
22.798921125,0,0,0,1,0
22.799362875,0,0,0,0,0
22.849399167,0,0,1,0,0
22.849516875,0,0,0,0,0
22.849527750,1,0,0,0,0
22.871489417,0,0,0,0,0
22.871500000,0,1,0,0,0
22.871611542,0,0,0,0,0
22.871629417,0,0,0,1,0
22.872071167,0,0,0,0,0
22.872088042,0,0,0,0,1
22.927611625,0,0,0,0,0
22.927629500,0,0,0,1,0
22.928065167,0,0,0,0,0
22.950358917,0,0,0,1,0
22.950800667,0,0,0,0,0
23.000847750,0,0,0,1,0
23.001283417,0,0,0,0,0
23.051319625,0,0,0,1,0
23.051755292,0,0,0,0,0
23.101802375,0,0,0,1,0
23.102244125,0,0,0,0,0
23.152285125,0,0,0,1,0
23.152726875,0,0,0,0,0
23.202763375,0,0,0,1,0
23.203199042,0,0,0,0,0
23.253246125,0,0,0,1,0
23.253681792,0,0,0,0,0
23.303718000,0,0,0,1,0
23.304159750,0,0,0,0,0
23.354199167,0,0,0,0,1
23.409699000,0,0,0,0,0
23.409709875,1,0,0,0,0
23.470587125,0,0,0,0,0
23.470597667,0,1,0,0,0
23.470715500,0,0,0,0,0
23.470729250,0,0,1,0,0
23.470844750,0,0,0,0,0
23.470868667,0,0,0,1,0
23.471304375,0,0,0,0,0
23.505638042,0,0,0,1,0
23.506079792,0,0,0,0,0
23.556126875,0,0,0,1,0
23.556562542,0,0,0,0,0
23.606598750,0,0,0,1,0
23.607034417,0,0,0,0,0
23.657081500,0,0,0,1,0
23.657523250,0,0,0,0,0
23.707559417,0,0,0,1,0
23.707995125,0,0,0,0,0
23.758042500,0,0,0,1,0
23.758478167,0,0,0,0,0
23.808525250,0,0,0,1,0
23.808967000,0,0,0,0,0
23.859000417,1,0,0,0,0
23.919891792,0,0,0,0,0
23.919902375,0,1,0,0,0
23.920019542,0,0,0,0,0
23.920033292,0,0,1,0,0
23.920148792,0,0,0,0,0
23.920166667,0,0,0,1,0
23.920608417,0,0,0,0,0
23.920625292,0,0,0,0,1
23.976121667,0,0,0,0,0
23.976139542,0,0,0,1,0
23.976575250,0,0,0,0,0
24.010441000,0,0,0,1,0
24.010883042,0,0,0,0,0
24.060919250,0,0,0,1,0
24.061354917,0,0,0,0,0
24.111402000,0,0,0,1,0
24.111837667,0,0,0,0,0
24.161884750,0,0,0,1,0
24.162326500,0,0,0,0,0
24.212362667,0,0,0,1,0
24.212798375,0,0,0,0,0
